ID,Request.id,Pickup.point,Driver.id,Status,Request.timestamp,Drop.timestamp,Duration,Interval,req_day,req_hour,req_day0fWeek,drop_day,drop_hour
1,619,Airport,1,Trip Completed,7/11/2016 11:51,7/11/2016 13:00,69,Mid-Day,11,11,Monday,11,13
2,867,Airport,1,Trip Completed,7/11/2016 17:57,7/11/2016 18:47,50,Evening,11,17,Monday,11,18
3,1807,City,1,Trip Completed,7/12/2016 9:17,7/12/2016 9:58,41,Early-Day,12,9,Tuesday,12,9
4,2532,Airport,1,Trip Completed,7/12/2016 21:08,7/12/2016 22:03,55,Evening,12,21,Tuesday,12,22
5,3112,City,1,Trip Completed,7/13/2016 8:33,7/13/2016 9:25,53,Early-Day,13,8,Wednesday,13,9
6,3879,Airport,1,Trip Completed,7/13/2016 21:57,7/13/2016 22:28,32,Evening,13,21,Wednesday,13,22
7,4270,Airport,1,Trip Completed,7/14/2016 6:15,7/14/2016 7:13,58,Early-Day,14,6,Thursday,14,7
8,5510,Airport,1,Trip Completed,7/15/2016 5:11,7/15/2016 6:07,56,Early-Day,15,5,Friday,15,6
9,6248,City,1,Trip Completed,7/15/2016 17:57,7/15/2016 18:50,53,Evening,15,17,Friday,15,18
10,267,City,2,Trip Completed,7/11/2016 6:46,7/11/2016 7:25,39,Early-Day,11,6,Monday,11,7
11,1467,Airport,2,Trip Completed,7/12/2016 5:08,7/12/2016 6:02,54,Early-Day,12,5,Tuesday,12,6
12,1983,City,2,Trip Completed,7/12/2016 12:30,7/12/2016 12:57,27,Mid-Day,12,12,Tuesday,12,12
13,2784,Airport,2,Trip Completed,7/13/2016 4:49,7/13/2016 5:23,34,Midnight,13,4,Wednesday,13,5
14,3075,City,2,Trip Completed,7/13/2016 8:02,7/13/2016 9:16,73,Early-Day,13,8,Wednesday,13,9
15,3379,City,2,Trip Completed,7/13/2016 14:23,7/13/2016 15:35,72,Mid-Day,13,14,Wednesday,13,15
16,3482,Airport,2,Trip Completed,7/13/2016 17:23,7/13/2016 18:20,58,Evening,13,17,Wednesday,13,18
17,4652,City,2,Trip Completed,7/14/2016 12:01,7/14/2016 12:36,36,Mid-Day,14,12,Thursday,14,12
18,5335,Airport,2,Trip Completed,7/14/2016 22:24,7/14/2016 23:18,55,Evening,14,22,Thursday,14,23
19,535,Airport,3,Trip Completed,7/11/2016 10:00,7/11/2016 10:31,31,Mid-Day,11,10,Monday,11,10
20,960,Airport,3,Trip Completed,7/11/2016 18:45,7/11/2016 19:23,38,Evening,11,18,Monday,11,19
21,1934,Airport,3,Trip Completed,7/12/2016 11:17,7/12/2016 12:23,66,Mid-Day,12,11,Tuesday,12,12
