emp_length,10+ years,,
term, 36 months,,
grade,(Multiple Items),,
purpose,debt_consolidation,,
,,,
Count of id,Column Labels,,
Row Labels,Fully Paid,Charged Off,Grand Total
0,3,1,4
0.02,1,,1
0.18,1,,1
0.25,2,,2
0.28,2,,2
0.3,1,,1
0.46,1,,1
0.5,1,,1
0.77,1,,1
0.78,1,,1
0.81,1,,1
0.82,1,,1
0.86,1,,1
0.94,1,,1
1,1,,1
1.12,,1,1
1.29,1,,1
1.31,1,,1
1.42,1,,1
1.44,,1,1
1.65,,1,1
1.69,1,,1
1.84,1,,1
1.89,,1,1
2.06,1,,1
2.2,1,,1
2.26,1,,1
2.4,2,,2
2.42,1,,1
2.45,1,,1
2.59,1,,1
2.8,,1,1
2.85,1,,1
2.89,1,,1
2.9,1,,1
3.22,1,,1
3.28,1,,1
3.3,2,,2
3.4,1,,1
3.41,1,,1
3.45,1,,1
3.46,1,,1
3.48,1,,1
3.5,1,,1
3.52,1,,1
3.54,1,,1
3.56,1,,1
3.57,1,,1
3.6,2,,2
3.65,1,,1
3.66,2,,2
3.71,,1,1
3.72,1,,1
3.74,1,,1
3.76,1,,1
3.8,1,,1
3.83,1,,1
3.96,,1,1
3.97,1,,1
4,1,,1
4.04,1,,1
4.11,1,,1
4.24,1,,1
4.33,1,,1
4.43,,1,1
4.52,,1,1
4.54,1,,1
4.63,1,,1
4.64,1,,1
4.72,,1,1
4.75,1,,1
4.8,3,1,4
4.81,1,,1
4.82,1,,1
4.84,2,,2
4.85,1,,1
4.9,1,,1
4.94,1,,1
4.96,1,,1
4.98,1,,1
5.04,1,,1
5.1,1,,1
5.18,1,,1
5.21,1,,1
5.22,1,,1
5.23,1,,1
5.28,1,,1
5.3,2,,2
5.35,1,,1
5.4,4,,4
5.44,1,,1
5.46,1,,1
5.47,1,1,2
5.51,1,,1
5.52,1,,1
5.54,1,,1
5.57,1,,1
5.61,2,,2
5.62,1,,1
5.63,1,,1
5.64,1,,1
5.66,1,,1
5.67,1,,1
5.69,1,,1
5.71,1,,1
5.72,1,,1
5.78,2,,2
5.83,1,,1
5.85,1,,1
5.9,1,,1
5.91,1,,1
5.93,1,,1
5.99,,1,1
6,,1,1
6.07,1,,1
6.09,1,,1
6.12,2,,2
6.15,2,,2
6.17,2,,2
6.18,1,,1
6.2,1,,1
6.24,1,,1
6.26,1,,1
6.28,1,,1
6.37,1,,1
6.38,1,,1
6.39,1,,1
6.45,1,,1
6.46,1,,1
6.51,1,,1
6.54,1,,1
6.55,1,,1
6.57,1,,1
6.58,2,,2
6.59,1,,1
6.61,1,,1
6.62,2,1,3
6.63,1,,1
6.67,2,,2
6.69,1,1,2
6.72,1,,1
6.74,1,,1
6.75,2,,2
6.76,4,,4
6.81,1,,1
6.84,1,,1
6.88,3,,3
6.89,1,,1
6.9,1,,1
6.92,1,,1
6.95,1,,1
6.96,1,,1
7.01,2,,2
7.04,1,,1
7.07,1,,1
7.08,1,1,2
7.09,1,,1
7.13,1,,1
7.17,2,,2
7.19,1,,1
7.3,1,,1
7.33,1,,1
7.34,,1,1
7.39,1,,1
7.41,1,,1
7.43,2,,2
7.45,1,,1
7.46,1,,1
7.49,2,,2
7.5,1,,1
7.52,1,,1
7.59,1,,1
7.6,,1,1
7.64,1,,1
7.66,2,,2
7.69,1,1,2
7.71,1,,1
7.72,1,,1
7.73,1,,1
7.74,1,,1
7.78,1,,1
7.8,3,,3
7.81,1,,1
7.85,,1,1
7.88,1,,1
7.89,1,,1
7.91,,1,1
7.92,2,,2
7.96,2,,2
7.98,1,,1
8,,1,1
8.04,1,,1
8.07,1,,1
8.08,1,1,2
8.1,2,,2
8.11,2,1,3
8.14,2,,2
8.17,1,,1
8.22,3,1,4
8.23,1,,1
8.25,1,,1
8.27,1,,1
8.28,1,,1
8.29,1,,1
8.32,1,,1
8.34,1,,1
8.4,1,,1
8.44,1,,1
8.5,1,,1
8.53,1,,1
8.54,1,,1
8.55,,1,1
8.56,1,,1
8.57,1,,1
8.6,1,1,2
8.61,1,,1
8.64,,1,1
8.66,1,,1
8.67,,1,1
8.68,1,,1
8.73,,1,1
8.74,1,,1
8.75,1,,1
8.76,1,,1
8.77,2,,2
8.79,1,,1
8.83,1,,1
8.84,3,,3
8.85,1,,1
8.88,2,,2
8.89,1,,1
8.97,,1,1
9.01,1,,1
9.06,1,,1
9.08,1,,1
9.09,2,,2
9.1,1,,1
9.11,2,,2
9.15,1,1,2
9.17,3,,3
9.18,1,1,2
9.21,1,,1
9.22,1,,1
9.26,1,,1
